datetime,open,high,low,close,atr_pct,confluence,regime,signal,entry_price,exit_price,exit_time,movement_pct,result
2024-12-22 22:15:00,1.04286,1.04365,1.04278,1.04363,0.0571,0,UP,HOLD,,,,,
2024-12-22 22:30:00,1.04362,1.04454,1.04296,1.04306,0.0623,0,UP,HOLD,,,,,
2024-12-22 22:45:00,1.04306,1.04371,1.043,1.04319,0.0637,0,UP,HOLD,,,,,
2024-12-22 23:00:00,1.04319,1.04433,1.04319,1.04377,0.0684,0,UP,HOLD,,,,,
2024-12-22 23:15:00,1.04377,1.04377,1.04309,1.04314,0.069,0,UP,HOLD,,,,,
2024-12-22 23:30:00,1.04314,1.04324,1.04299,1.04316,0.0648,1,UP,HOLD,,,,,
2024-12-22 23:45:00,1.04316,1.04339,1.04313,1.04334,0.0642,0,UP,HOLD,,,,,
2024-12-23 00:00:00,1.04334,1.04364,1.04331,1.04337,0.062,1,UP,HOLD,,,,,
2024-12-23 00:15:00,1.04337,1.04355,1.04333,1.04352,0.0553,0,UP,HOLD,,,,,
2024-12-23 00:30:00,1.04352,1.04352,1.04319,1.0433,0.0529,0,UP,HOLD,,,,,
2024-12-23 00:45:00,1.0433,1.0434,1.04303,1.04316,0.0529,0,UP,HOLD,,,,,
2024-12-23 01:00:00,1.04316,1.04322,1.04275,1.04291,0.0529,0,UP,HOLD,,,,,
2024-12-23 01:15:00,1.0429,1.0431,1.04264,1.04307,0.0539,0,UP,HOLD,,,,,
2024-12-23 01:30:00,1.04307,1.0433,1.04307,1.04319,0.0541,0,UP,HOLD,,,,,
2024-12-23 01:45:00,1.04319,1.04379,1.04319,1.04356,0.0522,0,UP,HOLD,,,,,
2024-12-23 02:00:00,1.04356,1.04403,1.04356,1.04386,0.0446,0,UP,HOLD,,,,,
2024-12-23 02:15:00,1.04386,1.04406,1.04374,1.04393,0.0419,1,UP,HOLD,,,,,
2024-12-23 02:30:00,1.04393,1.04428,1.04385,1.04401,0.0371,1,UP,HOLD,,,,,
2024-12-23 02:45:00,1.04401,1.04426,1.04388,1.04402,0.035,1,UP,HOLD,,,,,
2024-12-23 03:00:00,1.04402,1.04407,1.04381,1.04403,0.0351,1,UP,HOLD,,,,,
2024-12-23 03:15:00,1.04403,1.04407,1.04382,1.04398,0.035,1,UP,HOLD,,,,,
2024-12-23 03:30:00,1.04398,1.04417,1.04391,1.04402,0.0346,1,UP,HOLD,,,,,
2024-12-23 03:45:00,1.04402,1.04422,1.04379,1.04389,0.036,0,UP,HOLD,,,,,
2024-12-23 04:00:00,1.04389,1.04412,1.04384,1.04412,0.0356,0,UP,HOLD,,,,,
2024-12-23 04:15:00,1.04412,1.0442,1.04403,1.04412,0.0343,1,UP,HOLD,,,,,
2024-12-23 04:30:00,1.04412,1.04428,1.044,1.04413,0.033,2,UP,SELL (BEARISH),1.04413,1.044025587,2024-12-23 05:00:00,0.02,WIN ✅ (+0.01%)
2024-12-23 04:45:00,1.04413,1.0445,1.04408,1.04426,0.0327,1,UP,HOLD,,,,,
2024-12-23 05:00:00,1.04426,1.04439,1.04399,1.04406,0.0339,0,UP,HOLD,,,,,
2024-12-23 05:15:00,1.04406,1.04422,1.04396,1.04408,0.0315,1,UP,HOLD,,,,,
2024-12-23 05:30:00,1.04408,1.04418,1.04392,1.04405,0.0301,1,UP,HOLD,,,,,
2024-12-23 05:45:00,1.04405,1.04428,1.04391,1.04398,0.0304,1,UP,HOLD,,,,,
2024-12-23 06:00:00,1.04397,1.04417,1.04366,1.04394,0.031,1,UP,HOLD,,,,,
2024-12-23 06:15:00,1.04394,1.04414,1.04353,1.04362,0.0326,0,UP,HOLD,,,,,
2024-12-23 06:30:00,1.04362,1.04379,1.04338,1.04378,0.0336,0,UP,HOLD,,,,,
2024-12-23 06:45:00,1.04379,1.04384,1.04328,1.04335,0.0357,0,UP,HOLD,,,,,
2024-12-23 07:00:00,1.04335,1.04365,1.04318,1.04354,0.0372,1,UP,HOLD,,,,,
2024-12-23 07:15:00,1.04354,1.04354,1.043,1.04318,0.0379,0,UP,HOLD,,,,,
2024-12-23 07:30:00,1.04318,1.04318,1.04224,1.04224,0.0425,0,UP,HOLD,,,,,
2024-12-23 07:45:00,1.04224,1.0423,1.04109,1.04124,0.0497,0,UP,HOLD,,,,,
2024-12-23 08:00:00,1.04124,1.04177,1.04122,1.04153,0.0515,0,UP,HOLD,,,,,
2024-12-23 08:15:00,1.04153,1.04173,1.04069,1.04105,0.0558,0,UP,HOLD,,,,,
2024-12-23 08:30:00,1.04105,1.04135,1.04079,1.04116,0.0569,0,DOWN,HOLD,,,,,
2024-12-23 08:45:00,1.04116,1.04185,1.04113,1.04177,0.06,0,DOWN,HOLD,,,,,
2024-12-23 09:00:00,1.04177,1.04187,1.04113,1.04175,0.0633,1,DOWN,HOLD,,,,,
2024-12-23 09:15:00,1.04175,1.04192,1.04151,1.04179,0.0636,1,DOWN,HOLD,,,,,
2024-12-23 09:30:00,1.04179,1.04189,1.04109,1.04112,0.0656,0,DOWN,HOLD,,,,,
2024-12-23 09:45:00,1.04112,1.0413,1.04069,1.04074,0.0656,1,DOWN,HOLD,,,,,
2024-12-23 10:00:00,1.04074,1.04087,1.04034,1.04085,0.0664,1,DOWN,HOLD,,,,,
2024-12-23 10:15:00,1.04085,1.04094,1.04022,1.04038,0.0676,1,DOWN,HOLD,,,,,
2024-12-23 10:30:00,1.04038,1.04041,1.03941,1.03958,0.0713,0,DOWN,HOLD,,,,,
2024-12-23 10:45:00,1.03958,1.03959,1.03863,1.03895,0.0742,1,DOWN,HOLD,,,,,
2024-12-23 11:00:00,1.03895,1.03979,1.03894,1.03963,0.0735,1,DOWN,HOLD,,,,,
2024-12-23 11:15:00,1.03963,1.03998,1.03946,1.03982,0.0688,0,DOWN,HOLD,,,,,
2024-12-23 11:30:00,1.03982,1.03983,1.0387,1.03915,0.0728,0,DOWN,HOLD,,,,,
2024-12-23 11:45:00,1.03915,1.04009,1.03908,1.03997,0.0725,0,DOWN,HOLD,,,,,
2024-12-23 12:00:00,1.03997,1.04011,1.03919,1.0392,0.0751,1,DOWN,HOLD,,,,,
2024-12-23 12:15:00,1.0392,1.03924,1.03853,1.03894,0.075,2,DOWN,BUY (BULLISH),1.03894,1.039043894,2024-12-23 12:30:00,0.1,WIN ✅ (+0.01%)
2024-12-23 12:30:00,1.03892,1.03938,1.03886,1.0392,0.0735,1,DOWN,HOLD,,,,,
2024-12-23 12:45:00,1.0392,1.03982,1.03889,1.0395,0.077,1,DOWN,HOLD,,,,,
2024-12-23 13:00:00,1.0395,1.03982,1.03905,1.0391,0.0769,1,DOWN,HOLD,,,,,
2024-12-23 13:15:00,1.03909,1.03987,1.03879,1.03968,0.08,1,DOWN,HOLD,,,,,
2024-12-23 13:30:00,1.03968,1.03994,1.03906,1.03938,0.0825,1,DOWN,HOLD,,,,,
2024-12-23 13:45:00,1.03938,1.04025,1.03935,1.0399,0.0837,1,DOWN,HOLD,,,,,
2024-12-23 14:00:00,1.03993,1.04081,1.03977,1.04039,0.0839,1,DOWN,HOLD,,,,,
2024-12-23 14:15:00,1.04039,1.04077,1.04004,1.04019,0.0823,1,DOWN,HOLD,,,,,
2024-12-23 14:30:00,1.04019,1.0402,1.03959,1.0397,0.0807,1,DOWN,HOLD,,,,,
2024-12-23 14:45:00,1.0397,1.04005,1.03912,1.03931,0.0836,1,DOWN,HOLD,,,,,
2024-12-23 15:00:00,1.03931,1.03943,1.03839,1.03922,0.083,2,DOWN,BUY (BULLISH),1.03922,1.0393239220000001,2024-12-23 15:15:00,0.07,WIN ✅ (+0.01%)
2024-12-23 15:15:00,1.03922,1.03956,1.03896,1.03902,0.0802,1,DOWN,HOLD,,,,,
2024-12-23 15:30:00,1.03903,1.03964,1.039,1.03956,0.0782,1,DOWN,HOLD,,,,,
2024-12-23 15:45:00,1.03955,1.03955,1.03889,1.03904,0.078,1,DOWN,HOLD,,,,,
2024-12-23 16:00:00,1.03905,1.03988,1.0389,1.03979,0.0811,1,DOWN,HOLD,,,,,
2024-12-23 16:15:00,1.03978,1.03995,1.03927,1.03966,0.0794,1,DOWN,HOLD,,,,,
2024-12-23 16:30:00,1.03966,1.0409,1.03964,1.04071,0.0826,2,DOWN,SELL (BEARISH),1.04071,1.040605929,2024-12-23 16:45:00,0.11,WIN ✅ (+0.01%)
2024-12-23 16:45:00,1.04071,1.041,1.04044,1.04074,0.0791,3,DOWN,SELL (BEARISH),1.04074,1.040635926,2024-12-23 17:30:00,0.11,WIN ✅ (+0.01%)
2024-12-23 17:00:00,1.04074,1.04175,1.04064,1.0416,0.0806,1,DOWN,HOLD,,,,,
2024-12-23 17:15:00,1.0416,1.04164,1.04074,1.04074,0.0806,1,DOWN,HOLD,,,,,
2024-12-23 17:30:00,1.04074,1.04074,1.04017,1.04017,0.0775,1,DOWN,HOLD,,,,,
2024-12-23 17:45:00,1.04017,1.04017,1.03961,1.03972,0.0763,1,DOWN,HOLD,,,,,
2024-12-23 18:00:00,1.03972,1.0409,1.03972,1.04076,0.0802,1,DOWN,HOLD,,,,,
2024-12-23 18:15:00,1.04073,1.04104,1.04047,1.04094,0.0777,1,DOWN,HOLD,,,,,
2024-12-23 18:30:00,1.04094,1.0412,1.04052,1.0406,0.0752,1,DOWN,HOLD,,,,,
2024-12-23 18:45:00,1.0406,1.0409,1.04048,1.04084,0.074,1,DOWN,HOLD,,,,,
2024-12-23 19:00:00,1.04084,1.04089,1.04008,1.04009,0.0752,1,DOWN,HOLD,,,,,
