trades,ganhos,perdas,wr,avg_ganho,avg_perda,pf,sharpe,drawdown,expectancy,far_below,far_above,close_above_sma200,sma_trend_up,mid_range,bullish_only,min_trades
38,14,24,36.84210526315789,0.4698803355084512,-0.3302189073772538,0.8300354636740931,-5.955710847726125,-3.426273755310352,-0.035445502103573,False,False,True,False,False,True,5
38,14,24,36.84210526315789,0.4698803355084512,-0.3302189073772538,0.8300354636740931,-5.955710847726125,-3.426273755310352,-0.035445502103573,False,False,True,False,False,True,10
38,14,24,36.84210526315789,0.4698803355084512,-0.3302189073772538,0.8300354636740931,-5.955710847726125,-3.426273755310352,-0.035445502103573,False,False,True,False,False,True,20
25,9,16,36.0,0.6296922860820005,-0.29264032132056084,1.2103402043044529,5.9662060949698255,-2.2000385819094954,0.039399417344361226,False,False,False,True,False,True,5
25,9,16,36.0,0.6296922860820005,-0.29264032132056084,1.2103402043044529,5.9662060949698255,-2.2000385819094954,0.039399417344361226,False,False,False,True,False,True,10
25,9,16,36.0,0.6296922860820005,-0.29264032132056084,1.2103402043044529,5.9662060949698255,-2.2000385819094954,0.039399417344361226,False,False,False,True,False,True,20
9,3,6,33.33333333333333,0.3821476691881056,-0.3252850124617967,0.5873742647316516,-18.969648024584885,-1.0197892919591804,-0.08947411857849596,True,False,False,True,False,True,5
6,2,4,33.33333333333333,0.2779560216007828,-0.37957705038561884,0.3661150161312631,-37.21449076837641,-0.8805191451183594,-0.160399359723485,True,True,True,True,False,True,5
6,2,4,33.33333333333333,0.2779560216007828,-0.37957705038561884,0.3661150161312631,-37.21449076837641,-0.8805191451183594,-0.160399359723485,False,True,True,True,False,True,5
10,3,7,30.0,0.3821476691881056,-0.31553499058194007,0.5190237620936259,-23.496137202724963,-1.2742029372902062,-0.10623019265092637,True,False,False,True,False,False,5
10,3,7,30.0,0.3821476691881056,-0.31553499058194007,0.5190237620936259,-23.496137202724963,-1.2742029372902062,-0.10623019265092637,True,False,False,True,False,False,10
20,6,14,30.0,0.3135659142647888,-0.3339865860155274,0.40235902716304867,-33.11833994171244,-2.4327528566478485,-0.13972083593143253,True,False,True,False,False,True,5
20,6,14,30.0,0.3135659142647888,-0.3339865860155274,0.40235902716304867,-33.11833994171244,-2.4327528566478485,-0.13972083593143253,True,False,True,False,False,True,10
20,6,14,30.0,0.3135659142647888,-0.3339865860155274,0.40235902716304867,-33.11833994171244,-2.4327528566478485,-0.13972083593143253,True,False,True,False,False,True,20
17,5,12,29.411764705882355,0.2581729042451963,-0.3546336983613128,0.3033257026006442,-44.652169232496284,-2.5015609680012907,-0.17439646230057482,True,True,True,False,False,True,5
17,5,12,29.411764705882355,0.2581729042451963,-0.3546336983613128,0.3033257026006442,-44.652169232496284,-2.5015609680012907,-0.17439646230057482,True,True,True,False,False,True,10
17,5,12,29.411764705882355,0.2581729042451963,-0.3546336983613128,0.3033257026006442,-44.652169232496284,-2.5015609680012907,-0.17439646230057482,False,True,True,False,False,True,5
17,5,12,29.411764705882355,0.2581729042451963,-0.3546336983613128,0.3033257026006442,-44.652169232496284,-2.5015609680012907,-0.17439646230057482,False,True,True,False,False,True,10
7,2,5,28.57142857142857,0.2779560216007828,-0.35506861216905516,0.3131117271296213,-43.39781174995599,-1.1352907632753622,-0.1742044310919586,True,True,True,True,False,False,5
7,2,5,28.57142857142857,0.2779560216007828,-0.35506861216905516,0.3131117271296213,-43.39781174995599,-1.1352907632753622,-0.1742044310919586,False,True,True,True,False,False,5
